timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-07-24,1410.79,1464.07,1367.3,1415.56,1415.56,18430366,0,1
2020-07-23,1666.5,1687.75,1480.88,1513.27,1513.27,23156718,0,1
2020-07-22,1605.54,1625.12,1562,1590.58,1590.58,11071950,0,1
2020-07-21,1644.87,1673.86,1561,1567.58,1567.58,15192401,0,1
2020-07-20,1523.71,1649.9,1489.77,1642.47,1642.47,16400217,0,1
2020-07-17,1518.83,1537.51,1490.37,1500.41,1500.41,8908504,0,1
2020-07-16,1476.81,1530.84,1467.67,1500.82,1500.82,13477977,0,1
2020-07-15,1540.91,1548.05,1457.4,1546.88,1546.88,15304790,0,1
2020-07-14,1540.02,1586.47,1434.45,1516.39,1516.39,21552898,0,1
2020-07-13,1651.74,1792.99,1480,1495.36,1495.36,36928552,0,1
2020-07-10,1393.09,1548.21,1377.1,1546.01,1546.01,22556202,0,1
2020-07-09,1390.9,1405,1352.62,1393.81,1393.81,11152097,0,1
2020-07-08,1411.99,1417,1313.8,1365.5,1365.5,15685203,0,1
2020-07-07,1403.2,1428.88,1337.35,1389.69,1389.69,20315377,0,1
2020-07-06,1277,1376.83,1267.18,1371,1371,18847838,0,1
2020-07-02,1217.42,1225,1186,1208.8,1208.8,15386794,0,1
2020-07-01,1082.01,1134.95,1082.01,1119.54,1119.54,12789050,0,1
2020-06-30,1009.9,1087,1004.56,1079.84,1079.84,16077527,0,1
2020-06-29,966.62,1009.89,949,1009.89,1009.89,8670306,0,1
2020-06-26,989.44,993.61,955.53,960.76,960.76,7754372,0,1
2020-06-25,954.04,985.98,938.86,985.98,985.98,8661404,0,1
2020-06-24,996.39,1000,956.44,960.85,960.85,10649753,0,1
2020-06-23,997.02,1011.71,995.18,1001.66,1001.66,5965929,0,1
2020-06-22,1000.99,1008.18,990.25,994.54,994.54,6069272,0,1
2020-06-19,1013.76,1013.76,991.76,1000.57,1000.57,7979130,0,1
2020-06-18,1001.51,1018.8,994.71,1004.02,1004.02,9323189,0,1
2020-06-17,987.72,1004.9,983.89,990.56,990.56,9094963,0,1
2020-06-16,1011.45,1011.45,964.15,981.51,981.51,13333452,0,1
2020-06-15,917.03,998.38,909.38,990.75,990.75,14962489,0,1
2020-06-12,978,987.47,915.04,935.17,935.17,15886112,0,1
2020-06-11,987.61,1018.26,972.66,972.91,972.91,14809928,0,1
2020-06-10,990.87,1026.75,982.87,1025.05,1025.05,17039573,0,1
2020-06-09,942.36,954.06,924.96,941.01,941.01,10771919,0,1
2020-06-08,915.02,950,909.37,949.67,949.67,13221248,0,1
2020-06-05,878.77,886.2,866.83,885.55,885.55,7388075,0,1
2020-06-04,887.67,895.5,859.27,864.27,864.27,8666292,0,1
2020-06-03,886.58,897.69,880.28,882.51,882.51,7681213,0,1
2020-06-02,893.98,908.48,871.5,881.4,881.4,13054197,0,1
2020-06-01,854.72,898.81,854.72,897.48,897.48,13963185,0,1
2020-05-29,807.42,834.91,804.33,834.16,834.16,10591609,0,1
2020-05-28,813.42,824.35,801.82,805.99,805.99,7022208,0,1
2020-05-27,821.15,822.73,785.56,820.09,820.09,11097845,0,1
2020-05-26,831.53,831.92,816.3,818.74,818.74,7540809,0,1
2020-05-22,824.46,831.04,812.75,816.4,816.4,9732863,0,1
2020-05-21,817.75,831.76,796,827.6,827.6,11788747,0,1
2020-05-20,819.07,825.49,811.82,815.46,815.46,6942584,0,1
2020-05-19,817.01,821.94,806.25,808,808,9285581,0,1
2020-05-18,825,833.79,804.25,813.5,813.5,10973479,0,1
2020-05-15,794.31,803.89,786.82,799.03,799.03,10022216,0,1
2020-05-14,780.73,803.04,765,803.04,803.04,13083778,0,1
2020-05-13,820.35,825.97,763.3,790.36,790.36,18437553,0,1
2020-05-12,831.7,842.48,808.08,809.14,809.14,14966164,0,1
2020-05-11,789.18,824,788.51,810.48,810.48,15622885,0,1
2020-05-08,791.1,823.95,789.02,819.25,819.25,15617548,0,1
2020-05-07,779,796.4,773.13,780.22,780.22,11126085,0,1
2020-05-06,775.73,789.57,761.11,782.45,782.45,10714422,0,1
2020-05-05,788.23,798.21,763.18,768.06,768.06,16331523,0,1
2020-05-04,699.89,761.51,699.89,761.21,761.21,18336291,0,1
2020-05-01,762.21,771.37,684.37,701.31,701.31,31808779,0,1
2020-04-30,846.47,869.01,764.04,781.06,781.06,26983178,0,1
2020-04-29,791.51,802.91,783.88,799.84,799.84,12172765,0,1
2020-04-28,801.74,801.74,757.3,769.11,769.11,14532414,0,1
2020-04-27,737.74,798.94,736.83,798.92,798.92,19510736,0,1
2020-04-24,713.26,730.34,699.52,725,725,12601997,0,1
2020-04-23,728.1,733.74,703.36,705.63,705.63,12729779,0,1
2020-04-22,702.95,733.79,689.77,732.52,732.52,13337047,0,1
2020-04-21,727.77,751.78,680.27,686.72,686.72,19545384,0,1
2020-04-20,732.28,765.17,717.87,746.35,746.35,14220342,0,1
2020-04-17,764.69,771.44,747.99,753.25,753.25,11966076,0,1
2020-04-16,719.75,758.96,708.62,745.76,745.76,19184019,0,1
2020-04-15,736.46,752.06,710.47,729.53,729.53,21677612,0,1
2020-04-14,696.13,740.82,693.77,710.09,710.09,28550661,0,1
2020-04-13,588.11,651.79,580.88,650.99,650.99,21061109,0,1
2020-04-09,560.01,574.86,558.08,573.01,573.01,12668592,0,1
2020-04-08,552.23,556.98,534.06,548.7,548.7,12133596,0,1
2020-04-07,541,563.45,532.98,545.47,545.47,17151431,0,1
2020-04-06,511.26,519.85,499.14,516.24,516.24,13708845,0,1
2020-04-03,501.04,514.32,468.44,480,480,21083006,0,1
2020-04-02,484.38,493.69,447.02,454.47,454.47,15357729,0,1
2020-04-01,502.06,513.49,475.57,481.58,481.58,12474367,0,1
2020-03-31,499.76,542.54,498.28,524.48,524.48,16193775,0,1
2020-03-30,512.57,516.19,492.21,502.1,502.1,11058394,0,1
2020-03-27,500.78,524.47,494.15,514.56,514.56,13499364,0,1
2020-03-26,545.22,556.63,512.5,528.05,528.05,16589911,0,1
2020-03-25,540.22,555.2,511.54,539.15,539.15,19625219,0,1
2020-03-24,478.5,512.98,475,504.3,504.3,21562808,0,1
2020-03-23,431.12,440,411.65,434.29,434.29,15522741,0,1
2020-03-20,436.89,475,425.79,427.53,427.53,26849495,0,1
2020-03-19,372.37,451.38,359.54,427.3,427.3,28541515,0,1
2020-03-18,395,404.36,351,361.6,361.6,22460979,0,1
2020-03-17,441.05,470.87,396.06,430,430,23017414,0,1
2020-03-16,468.5,493.62,443.16,444.98,444.98,19007707,0,1
2020-03-13,596.87,606.62,502.2,546.2,546.2,21221604,0,1
2020-03-12,577.38,592.71,546.26,556.01,556.01,17394404,0,1
2020-03-11,636.71,651.05,613.26,633.91,633.91,12783524,0,1
2020-03-10,657.44,665.81,608.44,645,645,14571947,0,1
2020-03-09,618,661.28,606.53,606.53,606.53,15542820,0,1
2020-03-06,697.12,706.54,685.17,703.39,703.39,11775507,0,1
2020-03-05,725.06,745.39,719.77,723.62,723.62,10103646,0,1
2020-03-04,765.55,765.55,724.75,749.5,749.5,13903587,0,1
2020-03-03,802.61,802.61,717.67,745.51,745.51,23532053,0,1
2020-03-02,717.64,743.69,687.46,743.69,743.69,18469053,0,1
2020-02-28,627.9,689.32,611.92,667.43,667.43,22792816,0,1
2020-02-27,727.51,739,669.49,678.88,678.88,22647335,0,1
2020-02-26,778.54,812.68,776.77,778.67,778.67,13096617,0,1
2020-02-25,850.19,854.88,787.4,799.11,799.11,16586765,0,1
2020-02-24,827.15,862.26,824.03,833.16,833.16,13951716,0,1
2020-02-21,902.13,912.18,881.68,901,901,13277215,0,1
2020-02-20,911.93,911.93,861.53,899.18,899.18,16718055,0,1
2020-02-19,919.99,944.2,902.11,916.96,916.96,23581344,0,1
2020-02-18,844.37,859.85,834.23,858.66,858.66,14458985,0,1
2020-02-14,792.82,812.64,789.76,799.97,799.97,14141167,0,1
2020-02-13,737,816.58,737,803.86,803.86,24837985,0,1
2020-02-12,783.75,789.26,763.9,767.44,767.44,11112268,0,1
2020-02-11,767.87,783.31,758.43,774.02,774.02,11102231,0,1
2020-02-10,797.85,817.53,752.55,770.92,770.92,23058399,0,1
2020-02-07,735.16,767.66,732.85,747.98,747.98,16177136,0,1
2020-02-06,706.16,794.11,688,748.5,748.5,38196549,0,1
2020-02-05,811.55,844.57,705.01,734.72,734.72,45674777,0,1
2020-02-04,878.34,968.13,838.09,887.72,887.72,53517218,0,1
2020-02-03,676.08,783.44,676.08,780.28,780.28,45268523,0,1
2020-01-31,641.49,652.99,632.58,650.49,650.49,14942272,0,1
2020-01-30,626.86,649.94,619.5,640.93,640.93,26611112,0,1
2020-01-29,573.26,589.72,567.8,581,581,13267651,0,1
2020-01-28,566.48,576.28,558.18,566.82,566.82,10993974,0,1
2020-01-27,540.07,564.05,539.92,557.54,557.54,12662084,0,1
2020-01-24,573.07,573.07,554.88,564.96,564.96,13540399,0,1
2020-01-23,567.02,582,556.52,571.92,571.92,18535739,0,1
2020-01-22,568.8,594.04,559.65,569.43,569.43,29613239,0,1
2020-01-21,529,548.5,529,547.25,547.25,16351734,0,1
2020-01-17,511.32,515.18,503.31,510.19,510.19,12555660,0,1
2020-01-16,493.4,514.2,493.4,513.49,513.49,19861023,0,1
2020-01-15,528.94,537.6,517.43,518.51,518.51,16346502,0,1
2020-01-14,542.35,546.75,525.18,538,538,26766351,0,1
2020-01-13,493.31,525.55,493.31,524.85,524.85,25369868,0,1
2020-01-10,483.88,484.85,474.38,477.96,477.96,12245987,0,1
2020-01-09,495.13,498.3,473.13,481.49,481.49,26660793,0,1
2020-01-08,471.59,498.19,468.47,492.09,492.09,29650403,0,1
2020-01-07,461.15,471.63,453.43,469.17,469.17,16979334,0,1
2020-01-06,441.45,451.5,441.32,451.5,451.5,9681731,0,1
2020-01-03,437.51,453.86,437.51,442.75,442.75,16280743,0,1
2020-01-02,424.93,430.68,421.96,430.24,430.24,8982569,0,1
2019-12-31,403.26,421.19,402.4,418.17,418.17,9644583,0,1
2019-12-30,427.26,427.86,409.76,414.62,414.62,11935849,0,1
2019-12-27,433.71,433.77,426.27,430.23,430.23,9106020,0,1
2019-12-26,428.57,433.39,426.55,430.82,430.82,10018842,0,1
2019-12-24,417.18,425.36,412.88,425.18,425.18,7720833,0,1
2019-12-23,412.64,422,410.47,419.18,419.18,12638924,0,1
2019-12-20,409.46,412.71,400.28,405.55,405.55,13078815,0,1
2019-12-19,397.41,406.55,397.41,403.9,403.9,17080631,0,1
2019-12-18,381.36,395,381.36,393.1,393.1,13403839,0,1
2019-12-17,380.91,384.88,376,378.91,378.91,7935439,0,1
2019-12-16,363.62,383.44,363.62,381.51,381.51,17244449,0,1
2019-12-13,360.25,365.03,354.78,358.37,358.37,6173582,0,1
2019-12-12,355.09,362.46,353.58,359.67,359.67,7572397,0,1
2019-12-11,351.93,357.07,351.93,352.5,352.5,6577506,0,1
2019-12-10,339.35,350.67,339.35,348.83,348.83,8479945,0,1
2019-12-09,336.17,344.42,335.25,339.4,339.4,8221860,0,1
2019-12-06,335.36,338.78,335.09,335.85,335.85,7254229,0,1
2019-12-05,333.7,333.96,327.25,330.34,330.34,3421250,0,1
2019-12-04,337.18,337.42,332.95,332.99,332.99,5182156,0,1
2019-12-03,332.64,337.86,332.25,336.09,336.09,6310954,0,1
2019-12-02,329.63,336.31,328.95,334.86,334.86,5880916,0,1
2019-11-29,330.49,330.5,327.59,330.01,330.01,2309090,0,1
2019-11-27,330.38,333.8,328.67,331.05,331.05,5276285,0,1
2019-11-26,335.1,335.2,327.22,328.93,328.93,7248318,0,1
2019-11-25,344.35,344.35,334.51,336.3,336.3,11294921,0,1
2019-11-22,340.14,340.14,330.14,332.99,332.99,16019786,0,1
2019-11-21,354.65,360.8,354.01,354.8,354.8,5577056,0,1
2019-11-20,359.16,360.5,349.7,352.4,352.4,6072362,0,1
2019-11-19,351.41,359.97,347.8,359.52,359.52,7397349,0,1
2019-11-18,352.31,352.88,346.18,349.98,349.98,4230132,0,1
2019-11-15,351.45,352.74,348.5,352.24,352.24,4534717,0,1
2019-11-14,345.2,353.25,343.21,349.36,349.36,5924700,0,1
2019-11-13,353.58,356.02,345.44,345.99,345.99,7943437,0,1
2019-11-12,347.04,350.27,344.19,349.95,349.95,7111819,0,1
2019-11-11,343,349.12,342.42,345.1,345.1,9622399,0,1
2019-11-08,335.05,337.45,332.58,337.12,337.12,5911250,0,1
2019-11-07,329.03,341.22,328.22,335.39,335.39,14075711,0,1
2019-11-06,318.11,326.7,314.53,326.7,326.7,7712209,0,1
2019-11-05,318.9,323.49,316.12,317.16,317.16,6252570,0,1
2019-11-04,313.81,321.85,309.9,317.38,317.38,8517932,0,1
2019-11-01,316.24,316.24,310.13,313.31,313.31,6120080,0,1
2019-10-31,313.39,318.88,313.12,315.09,315.09,4894856,0,1
2019-10-30,314,318.69,310.03,314.86,314.86,8970173,0,1
2019-10-29,320.1,323.9,314.85,316.2,316.2,12227243,0,1
2019-10-28,328.96,340.33,322.62,327.52,327.52,18347127,0,1
2019-10-25,298.25,329.9,296.5,328.19,328.19,29355018,0,1
2019-10-24,299.17,303.85,290.01,299.62,299.62,27177004,0,1
2019-10-23,254.5,256.09,251.46,254.89,254.89,5071641,0,1
2019-10-22,254.69,258.19,250.98,255.52,255.52,4425040,0,1
2019-10-21,258.66,259.43,250.26,253.43,253.43,4684163,0,1
2019-10-18,261.71,262.58,255.16,256.99,256.99,5599972,0,1
2019-10-17,262.11,264.74,260.31,261.98,261.98,4608673,0,1
2019-10-16,257,262.05,257,259.69,259.69,6525079,0,1
2019-10-15,257.26,259.98,254.26,257.86,257.86,6268980,0,1
2019-10-14,247.3,258.45,247.3,256.82,256.82,10050340,0,1
2019-10-11,247.06,251,247.06,247.77,247.77,8235526,0,1
2019-10-10,244.53,249.03,241.74,244.74,244.74,6182377,0,1
2019-10-09,241.34,247.2,240.74,244.53,244.53,6693629,0,1
2019-10-08,235.5,243.85,234.59,240,240,8518001,0,1
2019-10-07,229.69,238.49,228.67,237.72,237.72,7862544,0,1
2019-10-04,232,234.48,228.14,231.44,231.44,7843760,0,1
2019-10-03,231.89,234.28,224.31,232.92,232.92,14560250,0,1
2019-10-02,242.54,244.55,239.44,243.24,243.24,5219909,0,1
2019-10-01,242.16,245.94,239.25,244.69,244.69,6021452,0,1
2019-09-30,242.68,243.89,236.28,240.79,240.79,5637715,0,1
2019-09-27,241.73,248.52,238.74,242.02,242.02,10857557,0,1
2019-09-26,230.44,243.19,227.51,242.52,242.52,11687001,0,1
2019-09-25,224.79,228.85,218.57,228.7,228.7,9195618,0,1
2019-09-24,241.66,241.66,222.73,223.28,223.28,12690196,0,1
2019-09-23,239.84,245.13,239.22,241.25,241.25,4198594,0,1
2019-09-20,246.46,246.46,238.21,240.59,240.59,6055781,0,1
2019-09-19,245.92,247.93,244.98,246.58,246.58,4484534,0,1
2019-09-18,244.83,248.01,242.41,243.43,243.43,4040337,0,1
2019-09-17,242.16,245.46,240.47,244.79,244.79,3750308,0,1
2019-09-16,245.89,247.34,241.17,242.68,242.68,4484860,0,1
2019-09-13,247.17,248.42,244.9,245.27,245.27,5103372,0,1
2019-09-12,247.29,253.22,244.47,245.86,245.86,8298103,0,1
2019-09-11,237.79,248.09,236.05,247.18,247.18,9706288,0,1
2019-09-10,230.46,235.54,229.27,235.54,235.54,4738202,0,1
2019-09-09,230.31,233.66,229.38,231.78,231.78,4525117,0,1
2019-09-06,228.1,229.58,225.2,227.49,227.49,3804095,0,1
2019-09-05,222.81,229.72,220.86,229.58,229.58,7163011,0,1
2019-09-04,226.66,228.34,219.56,220.71,220.71,5499905,0,1
2019-09-03,223.55,228.83,223.53,225.11,225.11,5090134,0,1
2019-08-30,228.51,232.3,224.24,225.6,225.6,8187703,0,1
2019-08-29,218.65,223.28,218.29,221.7,221.7,4855903,0,1
2019-08-28,213.38,217.19,212.32,215.59,215.59,3064847,0,1
2019-08-27,215.83,218.76,212.1,214.16,214.16,5007211,0,1
2019-08-26,212.41,214.98,211.54,214.98,214.98,4708699,0,1
2019-08-23,219.25,221.13,211.02,211.39,211.39,8038676,0,1
2019-08-22,223.18,225.36,218.3,222.05,222.05,5441876,0,1
2019-08-21,222.3,223.01,217.66,220.79,220.79,7347230,0,1
2019-08-20,227.56,228.99,224.64,225.65,225.65,3765257,0,1
2019-08-19,224,227.83,221.74,226.81,226.81,5139515,0,1
2019-08-16,216.47,222.2,216.47,219.92,219.92,4830572,0,1
2019-08-15,221.2,221.2,211.65,215.52,215.52,7798452,0,1
2019-08-14,230.5,231.2,219.59,219.59,219.59,8887275,0,1
2019-08-13,228.21,235.99,227.8,234.97,234.97,5056088,0,1
2019-08-12,232.83,235.49,228.87,229.02,229.02,4447149,0,1
2019-08-09,236.82,238.89,233.81,235,235,3705134,0,1
2019-08-08,234,239.76,233.07,238.29,238.29,5074344,0,1
2019-08-07,226.77,233.47,226.11,233.47,233.47,4522490,0,1
2019-08-06,231.26,232.5,225.75,230.63,230.63,5181635,0,1
2019-08-05,229.5,230.96,225.85,228.48,228.48,6522789,0,1
2019-08-02,230.75,236.15,229.29,234.28,234.28,5810210,0,1
2019-08-01,243.45,244.51,231.83,233.94,233.94,7932696,0,1
2019-07-31,242.6,246.6,236.77,241.62,241.62,8900834,0,1
2019-07-30,233.53,243.33,232.31,242.26,242.26,7832605,0,1
2019-07-29,227.71,235.9,226.17,235.79,235.79,8885314,0,1
2019-07-26,227,230.21,222.25,228,228,9643563,0,1
2019-07-25,232.8,234.18,225.77,228.83,228.83,20293953,0,1
2019-07-24,259.05,265.95,258.2,264.96,264.96,7424780,0,1
2019-07-23,256.97,260.47,254.63,260.1,260.1,4846409,0,1
2019-07-22,258.54,262.1,254.2,255.65,255.65,6570318,0,1
2019-07-19,255.18,259.91,254.76,258.17,258.17,6801946,0,1
2019-07-18,255.64,255.69,252,253.59,253.59,4484667,0,1
2019-07-17,255.32,258,253.72,254.83,254.83,9390755,0,1
2019-07-16,249.5,253.49,248.09,252.4,252.4,7568746,0,1
2019-07-15,247.9,254.31,244.94,253.49,253.49,10537780,0,1
2019-07-12,240.3,245.3,239.88,245.06,245.06,8853814,0,1
2019-07-11,238.26,241.48,236.06,238.6,238.6,7266822,0,1
2019-07-10,233.7,238.92,233.22,238.92,238.92,8497114,0,1
2019-07-09,229.22,230.93,227.43,230.06,230.06,5982805,0,1
2019-07-08,232,232.13,228.7,230.38,230.38,5597986,0,1
2019-07-05,234.86,235.39,230.92,233.15,233.15,6723301,0,1
2019-07-03,238.66,241.2,234.58,234.9,234.9,13039391,0,1
2019-07-02,227.81,228.54,222.26,224.62,224.62,6824176,0,1
2019-07-01,230.1,232.92,226.37,227.16,227.16,7796387,0,1
2019-06-28,221.43,225.13,221.42,223.46,223.46,5948011,0,1
2019-06-27,219.81,222.84,217.36,222.81,222.81,5908235,0,1
2019-06-26,220.5,227.02,218.2,219.28,219.28,8172918,0,1
2019-06-25,224.3,225.12,219.5,219.77,219.77,5891251,0,1
2019-06-24,223.66,225.65,221.2,223.64,223.64,5409582,0,1
2019-06-21,217.3,222,215.71,221.89,221.89,7621492,0,1
2019-06-20,223.01,226.79,216.35,219.59,219.59,11086710,0,1
2019-06-19,226.25,227.66,221.12,226.33,226.33,6277064,0,1
2019-06-18,228.56,234.63,223.58,224.74,224.74,12130127,0,1
2019-06-17,214.7,226.9,214.56,225.03,225.03,12042439,0,1
2019-06-14,212.48,216.55,210.48,214.92,214.92,7157337,0,1
2019-06-13,210.6,214.66,207.78,213.89,213.89,7825194,0,1
2019-06-12,221.27,223.32,209.01,209.26,209.26,14571026,0,1
2019-06-11,218.37,220.7,213.6,217.1,217.1,10830247,0,1
2019-06-10,209.61,216.79,209.32,212.88,212.88,10165765,0,1
2019-06-07,206.35,210.79,203.54,204.5,204.5,15431436,0,1
2019-06-06,202.79,211,202.03,205.95,205.95,19506266,0,1
2019-06-05,199.3,200.91,191.92,196.68,196.68,12404534,0,1
2019-06-04,180.51,193.91,179.86,193.91,193.91,13190982,0,1
2019-06-03,185.5,186.42,177.11,179.01,179.01,12539107,0,1
2019-05-31,185.84,189.9,184.28,185.37,185.37,9698647,0,1
2019-05-30,189.8,192.11,187.05,188.18,188.18,7470523,0,1
2019-05-29,187.14,192.27,185.04,189.89,189.89,11357929,0,1
2019-05-28,191.97,194.84,187.93,188.72,188.72,9781849,0,1
2019-05-24,199.29,199.71,188.81,190.73,190.73,13426252,0,1
2019-05-23,192.65,199.23,186.49,195.48,195.48,23417665,0,1
2019-05-22,199.43,203.79,191.86,192.69,192.69,17854381,0,1
2019-05-21,198.17,207.32,196.22,204.97,204.97,16840854,0,1
2019-05-20,202.16,205.9,195.61,205.34,205.34,19188112,0,1
2019-05-17,220.43,221.43,211,211,211,16725999,0,1
2019-05-16,230.61,230.78,226.66,228.25,228.25,7091460,0,1
2019-05-15,229.5,232.34,225.51,231.92,231.92,6956698,0,1
2019-05-14,229.22,234.49,228,232.29,232.29,6796940,0,1
2019-05-13,230.49,231.96,224.55,227.01,227.01,10254651,0,1
2019-05-10,239.69,241.86,236.16,239.51,239.51,6774460,0,1
2019-05-09,241.63,243.5,237.31,241.98,241.98,6488900,0,1
2019-05-08,246.46,250.46,244.43,244.76,244.76,5704405,0,1
2019-05-07,256.57,257,245.12,247.06,247.06,9496134,0,1
2019-05-06,249.54,258.3,248.71,255.33,255.33,9575154,0,1
2019-05-03,244.44,256.56,244.44,255.04,255.04,21304064,0,1
2019-05-02,246.67,246.86,238.03,244.08,244.08,15025282,0,1
2019-05-01,238.1,239.89,231.57,234.01,234.01,10498915,0,1
2019-04-30,241.94,244.21,237.1,238.69,238.69,9135177,0,1
2019-04-29,235.49,243.86,232.49,241.49,241.49,16110310,0,1
2019-04-26,246,246,231.18,235.04,235.04,21511893,0,1
2019-04-25,253.35,258.5,246.11,247.56,247.56,20840609,0,1
2019-04-24,264.35,265.22,258.18,258.69,258.69,8402576,0,1
2019-04-23,259.66,265.44,255.94,263.98,263.98,10327138,0,1
2019-04-22,268.67,269.2,262.62,262.91,262.91,11579075,0,1
2019-04-18,271.58,274.83,270.06,273.26,273.26,5638049,0,1
2019-04-17,274.2,274.75,268.54,271.22,271.22,4983666,0,1
2019-04-16,265.78,274.95,265.15,273.31,273.31,6992630,0,1
2019-04-15,268.16,268.16,258.73,266.38,266.38,9679588,0,1
2019-04-12,269.74,271.9,266.83,267.68,267.68,6564720,0,1
2019-04-11,267.69,270.4,266.26,268.45,268.45,8793148,0,1
2019-04-10,277.22,277.77,273,276.05,276.05,6418263,0,1
2019-04-09,271.89,274.86,269.75,272.4,272.4,5604380,0,1
2019-04-08,277.92,281.03,270.53,273.15,273.15,9841034,0,1
2019-04-05,269.32,275.85,266.18,274.96,274.96,12426548,0,1
2019-04-04,261.28,270.96,260.77,267.8,267.8,21279430,0,1
2019-04-03,288.51,296.1,287.9,291.76,291.76,7629928,0,1
2019-04-02,288,289.24,284.03,285.85,285.85,5128800,0,1
2019-04-01,283.83,289.18,281.65,289.18,289.18,7644690,0,1
2019-03-29,278.09,280.1,274.85,279.75,279.75,5703218,0,1
2019-03-28,276.48,280.2,275.11,278.59,278.59,6409186,0,1
2019-03-27,269.38,275.35,268.27,274.85,274.85,8442769,0,1
2019-03-26,265.59,269.98,265.58,267.85,267.85,6995474,0,1
2019-03-25,259.5,262.74,254.77,260.49,260.49,9552220,0,1
2019-03-22,272.27,272.62,264.09,264.53,264.53,8339197,0,1
2019-03-21,272.56,276.38,268.65,274.05,274.05,5685375,0,1
2019-03-20,269.2,274.97,266.37,273.5,273.5,6684374,0,1
2019-03-19,268.17,273.03,263.61,267.38,267.38,11358617,0,1
2019-03-18,276.09,277.72,267.38,269.52,269.52,9740115,0,1
2019-03-15,283,283.25,274.48,275.58,275.58,13059038,0,1
2019-03-14,292.75,295.35,288.36,289.96,289.96,6722172,0,1
2019-03-13,284.06,291.88,282.76,288.91,288.91,6624964,0,1
2019-03-12,286.05,287.55,281.2,283.37,283.37,7171611,0,1
2019-03-11,283.5,291.13,280.72,290.86,290.86,6871661,0,1
2019-03-08,276.05,285.25,276.05,284.13,284.13,8480607,0,1
2019-03-07,279.21,284.33,274.46,276.6,276.6,8918267,0,1
2019-03-06,277.9,281.19,274.5,276.23,276.23,10024656,0,1
2019-03-05,283.44,283.89,270.12,276.64,276.64,18191151,0,1
2019-03-04,297,298.24,282.84,285.3,285.3,16469678,0,1
2019-03-01,306.96,306.96,292.09,294.66,294.66,22085765,0,1
2019-02-28,318.71,319.99,311,319.81,319.81,8861651,0,1
2019-02-27,301.56,316.01,300.56,314.87,314.87,10849445,0,1
2019-02-26,292.14,301.94,289.18,297.81,297.81,8053084,0,1
2019-02-25,298.63,302.8,297.07,298.7,298.7,5938485,0,1
2019-02-22,293.33,296.28,292.25,294.69,294.69,5478196,0,1
2019-02-21,302.47,303.06,290.58,291.24,291.24,8639239,0,1
2019-02-20,304.18,306,299,302.53,302.53,6496939,0,1
2019-02-19,307.4,311.4,305.56,305.64,305.64,3982140,0,1
2019-02-15,304.3,307.95,304.1,307.92,307.92,3730769,0,1
2019-02-14,304.03,306.66,301.05,303.83,303.83,4955175,0,1
2019-02-13,312.51,312.73,305.62,308.11,308.11,4942845,0,1
2019-02-12,315.48,317.93,309.62,311.81,311.81,5218091,0,1
2019-02-11,310.76,318.27,310.76,312.85,312.85,6752043,0,1
2019-02-08,307.2,307.2,298.69,305.8,305.8,5689246,0,1
2019-02-07,313.05,314.29,303.11,307.6,307.6,6325922,0,1
2019-02-06,319.53,323.67,315.62,317.21,317.21,4847221,0,1
2019-02-05,313.72,322.38,313.72,321.26,321.26,6525354,0,1
2019-02-04,312.34,315.26,302.26,312.88,312.88,7084568,0,1
2019-02-01,305.56,316,303.81,312.38,312.38,7070399,0,1
2019-01-31,300.3,311.5,294.4,306.97,306.97,11913081,0,1
2019-01-30,301.49,308.84,298.6,308.83,308.83,8792595,0,1
